run	index name	bool fields count	document count	base	percentage of true	disk space	query type	thread count	min terms	max terms	duration	queries run	queries with results	total results lower bound	error count	queries per second	percentage of queries that had results	average results per query	average query duration	<1	<2	<5	<10	<20	<50	<100	<200	<500	<1,000	<2,000	<5,000	<10,000	<20,000	>=20,000
14	test01	20	10,000,000	2	9.25	433,555,039	SOME	100	1	5	61,034	6,396	6,396	55,497,290	0	105	100.00	8,676.88	944	.02	.02	.03	.02	.02	.11	.17	.08	.45	63.66	35.43				
15	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL	100	1	5	64,405	1,547	1,547	15,470,000	0	24	100.00	10,000.00	4,021									.52	.84	1.75	96.90			
16	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL2	100	1	5	68,850	736	736	7,360,000	0	11	100.00	10,000.00	8,771										1.09	1.22	4.62	88.32	4.76	
17	test01	20	10,000,000	2	9.25	433,555,039	ALL	100	1	1	60,391	28,086	28,086	164,846,337	0	465	100.00	5,869.34	214	.01	.02	.01	.02	.06	.07	1.13	44.79	53.72	.16					
18	test01	20	10,000,000	2	9.25	433,555,039	SOME	100	1	1	60,296	27,091	27,091	158,810,370	0	449	100.00	5,862.11	222	.01	.03	.02	.04	.01	.04	.59	41.08	57.91	.28					
19	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL	100	1	1	64,490	1,418	1,418	14,180,000	0	22	100.00	10,000.00	4,391									.49	.78	1.62	97.11			
20	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL2	100	1	1	69,577	722	722	7,220,000	0	10	100.00	10,000.00	8,969										.83	1.25	4.43	90.17	3.32	
21	test01	20	10,000,000	2	9.25	433,555,039	ALL	100	2	2	60,053	273,111	198,296	487,009,809	0	4,548	72.61	1,783.19	22	.00	.01	.04	.30	46.90	51.04	1.27	.45	.00						
22	test01	20	10,000,000	2	9.25	433,555,039	SOME	100	2	2	60,738	12,706	12,706	107,354,588	0	209	100.00	8,449.13	474	.05	.02	.03	.02	.08	.09	.13	.03	64.91	34.59	.09				
23	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL	100	2	2	64,225	1,474	1,474	14,740,000	0	23	100.00	10,000.00	4,209									.54	.75	1.42	97.29			
